サンプル 1
2018/06/17 9:37
波長 (nm)	10mm Absorbance
//WLCalib: Shift 	0.84667	
//WLCalib: 261S 	0.51000	
//WLCalib: 362S 	0.41000	
//WLCalib: 484S 	0.41000	
//WLCalib: 529S 	0.87000	
//WLCalib: 823S 	-1.93000	
//QSpecEnd: 
284.5	3.573
285.0	3.476
285.5	3.369
286.0	3.249
286.5	3.119
287.0	2.990
287.5	2.865
288.0	2.740
288.5	2.613
289.0	2.490
289.5	2.362
290.0	2.230
290.5	2.095
291.0	1.965
291.5	1.844
292.0	1.732
292.5	1.623
293.0	1.519
293.5	1.420
294.0	1.324
294.5	1.233
295.0	1.151
295.5	1.077
296.0	1.012
296.5	0.950
297.0	0.895
297.5	0.839
298.0	0.785
298.5	0.731
299.0	0.682
299.5	0.637
300.0	0.593
300.5	0.551
301.0	0.510
301.5	0.471
302.0	0.436
302.5	0.403
303.0	0.372
303.5	0.345
304.0	0.320
304.5	0.297
305.0	0.275
305.5	0.257
306.0	0.240
306.5	0.224
307.0	0.211
307.5	0.198
308.0	0.186
308.5	0.176
309.0	0.165
309.5	0.156
310.0	0.148
310.5	0.141
311.0	0.134
311.5	0.127
312.0	0.121
312.5	0.117
313.0	0.111
313.5	0.105
314.0	0.100
314.5	0.094
315.0	0.090
315.5	0.086
316.0	0.081
316.5	0.076
317.0	0.073
317.5	0.069
318.0	0.066
318.5	0.063
319.0	0.058
319.5	0.057
320.0	0.053
320.5	0.050
321.0	0.049
321.5	0.047
322.0	0.046
322.5	0.044
323.0	0.042
323.5	0.041
324.0	0.041
324.5	0.041
325.0	0.041
325.5	0.040
326.0	0.039
326.5	0.038
327.0	0.037
327.5	0.036
328.0	0.034
328.5	0.033
329.0	0.032
329.5	0.030
330.0	0.026
330.5	0.025
331.0	0.023
331.5	0.023
332.0	0.021
332.5	0.017
333.0	0.016
333.5	0.015
334.0	0.013
334.5	0.012
335.0	0.010
335.5	0.009
336.0	0.006
336.5	0.006
337.0	0.006
337.5	0.007
338.0	0.006
338.5	0.005
339.0	0.003
339.5	0.003
340.0	0.000
340.5	-0.001
341.0	-0.001
341.5	-0.001
342.0	-0.002
342.5	-0.003
343.0	-0.004
343.5	-0.005
344.0	-0.009
344.5	-0.010
345.0	-0.010
345.5	-0.011
346.0	-0.012
346.5	-0.012
347.0	-0.015
347.5	-0.015
348.0	-0.016
348.5	-0.019
349.0	-0.020
349.5	-0.021
350.0	-0.021

